2019-10-21 20:56:17 INFO  Car - Speed:   1.0; Angle:   WEST; Position: 13,18; Parcels:      1; Health: 185.0; Health Usage: 200.0; Fuel: 949.0; Tile: ROAD
2019-10-21 20:56:18 INFO  Car - Speed:   1.0; Angle:   WEST; Position: 14,18; Parcels:      1; Health: 185.0; Health Usage: 200.0; Fuel: 948.0; Tile: ROAD
2019-10-21 20:56:18 INFO  Car - Speed:   1.0; Angle:   WEST; Position: 15,18; Parcels:      1; Health: 185.0; Health Usage: 200.0; Fuel: 947.0; Tile: ROAD
2019-10-21 20:56:19 INFO  Car - Speed:   1.0; Angle:   WEST; Position: 16,18; Parcels:      1; Health: 185.0; Health Usage: 200.0; Fuel: 946.0; Tile: ROAD
2019-10-21 20:56:19 INFO  Car - Speed:   0.0; Angle:  SOUTH; Position: 16,18; Parcels:      1; Health: 180.0; Health Usage: 200.0; Fuel: 945.0; Tile: ROAD
2019-10-21 20:56:20 INFO  Car - Speed:   0.0; Angle:  SOUTH; Position: 16,18; Parcels:      1; Health: 180.0; Health Usage: 200.0; Fuel: 945.0; Tile: ROAD
2019-10-21 20:56:20 INFO  Car - Speed:   0.0; Angle:  SOUTH; Position: 16,18; Parcels:      1; Health: 180.0; Health Usage: 200.0; Fuel: 945.0; Tile: ROAD
2019-10-21 20:56:21 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position: 16,17; Parcels:      1; Health: 180.0; Health Usage: 200.0; Fuel: 944.0; Tile: ROAD
2019-10-21 20:56:21 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position: 16,16; Parcels:      1; Health: 180.0; Health Usage: 200.0; Fuel: 943.0; Tile: ROAD
2019-10-21 20:56:22 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position: 16,15; Parcels:      1; Health: 180.0; Health Usage: 200.0; Fuel: 942.0; Tile: ROAD
2019-10-21 20:56:22 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position: 16,14; Parcels:      1; Health: 180.0; Health Usage: 200.0; Fuel: 941.0; Tile: ROAD
2019-10-21 20:56:23 INFO  Car - Speed:   1.0; Angle:   WEST; Position: 15,14; Parcels:      1; Health: 180.0; Health Usage: 200.0; Fuel: 940.0; Tile: ROAD
2019-10-21 20:56:23 INFO  Car - Speed:   1.0; Angle:   WEST; Position: 14,14; Parcels:      1; Health: 180.0; Health Usage: 200.0; Fuel: 939.0; Tile: ROAD
2019-10-21 20:56:24 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position: 14,13; Parcels:      1; Health: 180.0; Health Usage: 200.0; Fuel: 938.0; Tile: ROAD
2019-10-21 20:56:24 INFO  Car - Speed:   1.0; Angle:   WEST; Position: 13,13; Parcels:      1; Health: 180.0; Health Usage: 200.0; Fuel: 937.0; Tile: ROAD
2019-10-21 20:56:25 INFO  Car - Speed:   1.0; Angle:   WEST; Position: 12,13; Parcels:      1; Health: 180.0; Health Usage: 200.0; Fuel: 936.0; Tile: ROAD
2019-10-21 20:56:25 INFO  Car - Speed:   1.0; Angle:   WEST; Position: 11,13; Parcels:      1; Health: 180.0; Health Usage: 200.0; Fuel: 935.0; Tile: ROAD
